NAME,VERSION,REPO,HOMEPAGE,DESCRIPTION

1password,8.4.1-1,nonfree,https://1password.com,"Password manager and secure wallet "
abiword,3.0.5-1,main,http://www.abisource.com,"Fully featured yet light and fast cross platform word processor"
abook,0.6.1-1,main,,"Text-based addressbook designed for use with Mutt "
acl,2.3.1-1,main,,"Utilities to administer Access Control Lists, which are used to define more fine-grained discretionary access rights for files and directories"
acme.sh,3.0.4-1,main,https://github.com/acmesh-official/acme.sh,"An ACME Shell script, an acme client alternative to certbot"
acpi,1.7-1,main,,"Client for battery, power, and thermal readings"
acpid,2.0.33-1,main,,"Extensible daemon for delivering ACPI events"
adapta-gtk-theme,3.95.0.11-1,main,,"An adaptive Gtk+ theme based on Material Design Guidelines"
adobe-source-code-pro-fonts,2.038+1.058+1.018-1,main,https://github.com/adobe-fonts/source-code-pro,"Monospaced font family for user interface and coding environments"
adwaita-icon-theme,42.0-1,main,,"Icon theme for Gtk+ 3 applications"
aircrack-ng,1.7-1,main,,"Key cracker for the 802.11 WEP and WPA-PSK protocols"
alacritty,0.10.1-1,main,,"A cross-platform, GPU-accelerated terminal emulator"
alsa-lib,1.2.7.2-1,main,,"ALSA library used by programs (including ALSA Utilities) requiring access to the ALSA sound interface"
alsa-lib-32,1.2.7.2-1,multilib,,"ALSA library used by programs (including ALSA Utilities) requiring access to the ALSA sound interface"
alsa-plugins,1.2.7.1-1,main,,"Plugins for various audio libraries and sound servers"
alsa-topology-conf,1.2.5.1-1,main,https://alsa-project.org,"ALSA topology configuration files"
alsa-ucm-conf,1.2.7.2-1,main,https://alsa-project.org,"ALSA Use Case Manager configuration (and topologies)"
alsa-utils,1.2.7-1,main,,"Various utilities for controlling sound card"
android-studio,4.2.1.15-1,nonfree,,"The official Android IDE (Stable branch) "
aom,3.4.0-1,main,https://aomedia.googlesource.com/aom,"AV1 Codec Library"
apache,2.4.54-1,main,,"Open-source HTTP server"
appstream,0.15.4-1,main,,"Provides a standard for creating app stores across distributions"
appstream-glib,0.8.0-1,main,,"Objects and methods for reading and writing AppStream metadata"
apr,1.7.0-1,main,,"Supporting library for the Apache web server"
apr-util,1.6.1-2,main,,"Predictable and consistent interface to underlying client library interfaces"
apulse,0.1.13-1,main,https://github.com/i-rinat/apulse,"PulseAudio emulation for ALSA"
arcbox,0.1.2-1,main,,"Simple openbox theme for Arc GTK2/3 theme"
